CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST2999,Male,0,Yes,Yes,71,No,No,No,No,No,No,No,No,No,One year,No,Electronic check,120.0,8756.02,No
CUST2998,Male,0,No,No,19,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,84.09,1642.44,No
CUST2997,Male,0,No,No,57,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,82.28,4805.18,No
CUST2996,Female,0,No,Yes,34,Yes,No,DSL,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,120.0,3951.13,No
CUST2995,Female,0,No,Yes,72,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),74.29,5206.46,No
CUST2994,Female,0,Yes,Yes,39,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.72,3355.2,No
CUST2993,Male,0,No,No,20,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),24.83,489.15,Yes
CUST2992,Female,0,Yes,Yes,53,Yes,No,Fiber optic,No,Yes,No,No,No internet service,Yes,One year,Yes,Electronic check,28.34,1502.86,No
CUST2991,Male,0,No,Yes,6,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,31.17,188.5,No
CUST2990,Female,0,Yes,No,55,Yes,No,DSL,No,No,No internet service,No,Yes,No,One year,Yes,Mailed check,65.98,3526.16,Yes
CUST2989,Female,1,No,No,8,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,No,Two year,No,Electronic check,106.18,810.79,No
CUST2988,Male,0,No,No,11,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),46.12,484.35,No
CUST2987,Male,0,No,No,66,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,One year,Yes,Mailed check,35.13,2226.87,No
CUST2986,Female,0,No,No,15,Yes,No,DSL,No internet service,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,68.01,1069.57,No
CUST2985,Male,1,Yes,No,41,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,No,Two year,No,Electronic check,89.33,3598.31,No
CUST2984,Male,0,Yes,No,12,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),76.44,924.01,No
CUST2983,Male,0,Yes,Yes,9,No,No,DSL,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,83.69,717.74,No
CUST2982,Male,0,No,No,59,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,75.4,4324.25,No
CUST2981,Female,0,Yes,Yes,53,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),48.91,2685.67,No
CUST2980,Male,0,No,Yes,9,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,64.35,573.99,No
CUST2979,Female,0,No,No,16,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,91.21,1524.18,No
CUST2978,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,One year,No,Credit card (automatic),73.43,1205.84,Yes
CUST2977,Male,0,Yes,No,1,Yes,Yes,DSL,No,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,76.55,76.55,No
CUST2976,Male,0,Yes,No,62,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,101.2,6404.08,Yes
CUST2975,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),22.85,1576.41,No
CUST2974,Male,0,Yes,No,67,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,65.71,4444.06,No
CUST2973,Female,0,No,No,44,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Electronic check,95.2,4127.52,Yes
CUST2972,Male,0,No,Yes,2,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,55.45,112.1,Yes
CUST2971,Female,0,Yes,No,4,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),52.09,215.63,Yes
CUST2970,Male,1,No,No,37,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,Yes,Two year,No,Mailed check,34.6,1253.28,Yes
CUST2969,Male,0,No,No,71,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),45.06,3297.7,Yes
CUST2968,Male,0,No,No,54,No,No,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),59.62,3082.97,No
CUST2967,Male,0,Yes,Yes,64,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,18.0,1136.33,Yes
CUST2966,Male,0,No,Yes,42,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),64.69,2757.44,No
CUST2965,Female,0,No,Yes,63,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,85.0,5442.19,No
CUST2964,Female,0,No,No,44,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),53.33,2361.07,No
CUST2963,Male,0,No,No,68,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,112.48,7918.27,No
CUST2962,Female,0,Yes,Yes,38,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,76.39,2862.2,No
CUST2961,Male,0,No,No,72,Yes,No phone service,DSL,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,28.68,2090.88,No
CUST2960,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,One year,No,Bank transfer (automatic),45.21,135.36,Yes
CUST2959,Female,0,No,Yes,43,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,One year,No,Mailed check,61.14,2757.62,Yes
CUST2958,Female,0,No,Yes,18,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),100.7,1723.89,Yes
CUST2957,Male,0,Yes,No,19,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),18.0,356.32,No
CUST2956,Female,1,Yes,No,6,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,118.44,707.02,No
CUST2955,Female,1,No,No,62,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,87.77,5465.28,Yes
CUST2954,Female,0,Yes,No,64,Yes,Yes,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,50.57,3134.69,No
CUST2953,Female,0,No,Yes,63,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),83.52,5508.37,Yes
CUST2952,Female,1,No,No,3,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,81.05,247.07,No
CUST2951,Male,0,Yes,Yes,12,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,82.57,1015.92,No
